WeatherPy_Database,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Arraial Do Cabo,BR,2021-03-15 00:57:26,-22.9661,-42.0278,77.13,84,100,15.86
1,Victoria,HK,2021-03-15 00:56:28,22.2855,114.1577,71.01,78,96,1.99
2,Srednekolymsk,RU,2021-03-15 00:57:34,67.45,153.6833,-8.5,90,0,8.77
3,Ballybofey,IE,2021-03-15 00:57:34,54.8,-7.7833,43.39,95,99,7.47
4,Hithadhoo,MV,2021-03-15 00:57:35,-0.6,73.0833,84.06,63,100,5.99
5,Punta Arenas,CL,2021-03-15 00:54:09,-53.15,-70.9167,48.2,81,75,6.91
6,Bluff,NZ,2021-03-15 00:57:12,-46.6,168.3333,57.99,94,100,11.99
7,Imbituba,BR,2021-03-15 00:57:36,-28.24,-48.6703,73.4,94,75,3.44
8,Ushuaia,AR,2021-03-15 00:56:29,-54.8,-68.3,50.0,62,75,9.22
9,Puerto Ayora,EC,2021-03-15 00:57:36,-0.7393,-90.3518,79.0,90,100,4.23
10,San Lorenzo,PY,2021-03-15 00:57:37,-25.3333,-57.5333,80.6,57,0,3.44
11,Sakakah,SA,2021-03-15 00:57:37,29.9697,40.2064,60.8,27,100,4.61
12,Port Augusta,AU,2021-03-15 00:57:37,-32.5,137.7667,66.0,59,0,11.5
13,Ilulissat,GL,2021-03-15 00:57:38,69.2167,-51.1,12.2,52,75,11.5
14,Alpine,US,2021-03-15 00:57:38,32.835,-116.7664,59.0,58,40,9.22
15,Hilo,US,2021-03-15 00:53:06,19.7297,-155.09,75.0,78,90,6.91
16,Bangui,CF,2021-03-15 00:57:38,4.3612,18.555,73.83,88,100,2.35
17,Thinadhoo,MV,2021-03-15 00:57:39,0.5333,72.9333,82.71,71,100,5.03
18,Katsuura,JP,2021-03-15 00:57:39,35.1333,140.3,55.99,35,49,4.0
19,Hami,CN,2021-03-15 00:57:39,42.8,93.45,45.68,42,100,3.85
20,Hambantota,LK,2021-03-15 00:57:40,6.1241,81.1185,71.6,100,20,2.3
21,Mataura,NZ,2021-03-15 00:57:19,-46.1927,168.8643,57.99,94,100,11.99
22,Ambon,ID,2021-03-15 00:57:40,-3.6954,128.1814,84.2,74,20,4.61
23,Chik,RU,2021-03-15 00:57:41,54.9928,82.4311,-0.4,78,0,6.71
24,Port Elizabeth,ZA,2021-03-15 00:57:06,-33.918,25.5701,69.8,94,90,5.75
25,Muros,ES,2021-03-15 00:57:21,42.7762,-9.0603,44.01,91,0,10.31
26,Lahaina,US,2021-03-15 00:57:41,20.8783,-156.6825,78.8,100,75,10.36
27,Karratha,AU,2021-03-15 00:57:42,-20.7377,116.8463,88.41,49,50,23.44
28,Torbay,CA,2021-03-15 00:57:42,47.6666,-52.7314,28.0,93,90,6.38
29,Pisco,PE,2021-03-15 00:57:09,-13.7,-76.2167,78.8,61,0,17.27
30,New Norfolk,AU,2021-03-15 00:57:43,-42.7826,147.0587,70.0,41,66,3.0
31,Shingu,JP,2021-03-15 00:57:43,33.7333,135.9833,53.6,54,20,13.8
32,Omsukchan,RU,2021-03-15 00:57:43,62.5333,155.8,2.73,74,58,4.18
33,Bengkulu,ID,2021-03-15 00:57:01,-3.8004,102.2655,80.28,76,9,3.91
34,Vila Franca Do Campo,PT,2021-03-15 00:54:36,37.7167,-25.4333,60.8,100,75,6.91
35,Kaitangata,NZ,2021-03-15 00:57:03,-46.2817,169.8464,64.99,64,100,13.0
36,Hermanus,ZA,2021-03-15 00:57:22,-34.4187,19.2345,64.0,95,78,1.01
37,Eureka,US,2021-03-15 00:52:44,40.8021,-124.1637,41.0,87,100,3.0
38,Cape Town,ZA,2021-03-15 00:55:30,-33.9258,18.4232,68.0,88,90,17.27
39,Puerto Carreno,CO,2021-03-15 00:57:45,6.189,-67.4859,84.34,57,76,11.41
40,Adrar,MR,2021-03-15 00:57:45,20.5022,-10.0711,70.86,26,0,9.04
41,Leh,IN,2021-03-15 00:57:45,34.1667,77.5833,19.71,79,44,1.83
42,Luderitz,NA,2021-03-15 00:53:16,-26.6481,15.1594,64.8,79,0,17.78
43,Rikitea,PF,2021-03-15 00:56:59,-23.1203,-134.9692,81.72,71,12,6.49
