City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Arraial Do Cabo,BR,77.13,-22.9661,-42.0278,Pousada Porto Praia
1,Victoria,HK,71.01,22.2855,114.1577,Mini Hotel Central
7,Imbituba,BR,73.4,-28.24,-48.6703,Praia Hotel Imbituba
9,Puerto Ayora,EC,79.0,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Hilo,US,75.0,19.7297,-155.09,Hilo Hawaiian Hotel
16,Bangui,CF,73.83,4.3612,18.555,SAM HOTEL
20,Hambantota,LK,71.6,6.1241,81.1185,Bungalow 63
24,Port Elizabeth,ZA,69.8,-33.918,25.5701,"Radisson Blu Hotel, Port Elizabeth"
26,Lahaina,US,78.8,20.8783,-156.6825,Lahaina Shores Beach Resort
29,Pisco,PE,78.8,-13.7,-76.2167,DoubleTree Resort by Hilton Paracas - Peru
30,New Norfolk,AU,70.0,-42.7826,147.0587,Riverfront Motel & Villas
38,Cape Town,ZA,68.0,-33.9258,18.4232,Southern Sun Waterfront Cape Town
40,Adrar,MR,70.86,20.5022,-10.0711,
45,Naze,JP,68.0,28.3667,129.4833,Amami Resort Basyayamamura
47,Cabrera,DO,71.01,19.6426,-69.9049,Bahia Blanca
57,Souillac,MU,75.2,-20.5167,57.5167,Shanti Maurice Resort & Spa
58,The Valley,AI,77.0,18.217,-63.0578,Grand Case Beach Club
63,San Matias,BO,74.82,-16.3667,-58.4,"HOTEL ""SAN JOSE"""
65,Padang,ID,77.0,-0.9492,100.3543,Mercure Padang
73,Kahului,US,78.8,20.8947,-156.47,Maui Seaside Hotel
78,Santiago,CL,71.01,-33.4569,-70.6483,Che Lagarto Hostel Santiago
79,Port Alfred,ZA,69.01,-33.5906,26.891,The Halyards Hotel
81,Hobart,AU,70.0,-42.8794,147.3294,Mantra on Collins Hobart
84,Apomu,NG,75.88,7.3333,4.1833,"Albirr Charity Foundation, Islamiyyah, Ikire"
85,Cockburn Town,TC,73.4,21.4612,-71.1419,Osprey Beach Hotel
