City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kaitangata,NZ,2021-03-14 22:11:53,-46.2817,169.8464,63.0,58,100,1.86
1,Kodiak,US,2021-03-14 22:10:54,57.79,-152.4072,35.6,69,90,26.46
2,Barrow,US,2021-03-14 22:11:03,71.2906,-156.7887,-5.8,77,1,14.97
3,Punta Arenas,CL,2021-03-14 22:06:59,-53.15,-70.9167,50.0,76,0,12.66
4,Upernavik,GL,2021-03-14 22:12:15,72.7868,-56.1549,-3.06,99,100,5.08
5,Mataura,NZ,2021-03-14 22:10:39,-46.1927,168.8643,64.99,77,100,3.0
6,Kananga,CD,2021-03-14 22:13:57,-5.8958,22.4178,72.03,87,80,3.94
7,Tessalit,ML,2021-03-14 22:10:57,20.1986,1.0114,72.19,24,0,7.85
8,Malanje,AO,2021-03-14 22:13:58,-9.5402,16.341,64.87,94,56,2.89
9,San Martin,AR,2021-03-14 22:13:58,-33.081,-68.4681,80.6,47,20,2.3
10,Nemuro,JP,2021-03-14 22:11:58,43.3236,145.575,33.42,89,100,26.17
11,Vao,NC,2021-03-14 22:12:01,-22.6667,167.4833,76.77,77,8,16.75
12,Butaritari,KI,2021-03-14 22:10:43,3.0707,172.7902,81.48,80,19,14.88
13,Digha,IN,2021-03-14 22:13:59,21.6833,87.55,71.76,88,0,7.74
14,Lorengau,PG,2021-03-14 22:10:44,-2.0226,147.2712,82.4,72,91,2.21
15,Ushuaia,AR,2021-03-14 22:09:30,-54.8,-68.3,53.6,50,75,17.27
16,Haines Junction,CA,2021-03-14 22:14:00,60.7522,-137.5108,5.0,39,67,3.44
17,Port Alfred,ZA,2021-03-14 22:10:32,-33.5906,26.891,70.0,96,96,11.01
18,Basoko,CD,2021-03-14 22:14:00,1.2391,23.616,70.54,95,100,7.92
19,Nikolskoye,RU,2021-03-14 22:10:38,59.7035,30.7861,36.0,93,75,6.71
20,Atuona,PF,2021-03-14 22:10:24,-9.8,-139.0333,80.33,66,51,10.69
21,Fagernes,NO,2021-03-14 22:14:01,60.9858,9.2324,21.99,93,95,4.07
22,Fukue,JP,2021-03-14 22:14:01,32.6881,128.8419,54.41,54,0,3.74
23,Grand Gaube,MU,2021-03-14 22:10:57,-20.0064,57.6608,75.0,92,99,1.99
24,Carnarvon,AU,2021-03-14 22:10:19,-24.8667,113.6333,75.2,83,21,4.61
25,Tuatapere,NZ,2021-03-14 22:11:53,-46.1333,167.6833,64.99,77,100,3.0
